gen,HV_norm,feasible_ratio_soft,feasible_ratio_strict,min_cost,min_emission_gCO2,min_time,vio_mean_miss_alloc,vio_mean_miss_tt,vio_mean_cap_excess,vio_mean_node_cap_excess,vio_mean_late_h,vio_mean_wait_h
0,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,221.00274446245177,0.0,153.2187011660014,1070.943121504859
1,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,1.3947374950565428,0.0,139.49614441047862,1267.1269863003124
2,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,2.400639992447603,0.0,99.22377682675699,1213.475679529698
3,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.08279951744784285,0.0,84.5385267893623,1272.9475089344826
4,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.1951324486543778,0.0,68.56798558860017,1205.745856120888
5,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.1951324486543778,0.0,53.06783649579745,1149.0673217052336
6,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.11233293120653495,0.0,43.656847173070524,1108.9661089772299
7,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.0,0.0,38.70138810434427,1052.827561158786
8,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.0,0.0,33.212378482646166,1048.0023811369194
9,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.0,0.0,32.358540084792324,1072.8356802016438
10,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.004792257386758744,0.0,23.80391810921257,1064.4634979937764
11,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.004792257386758744,0.0,16.60618436177763,1004.5435855296865
12,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.004792257386758744,0.0,11.63496256375178,997.3532624157464
13,0.0,0.0,0.0,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.004792257386758744,0.0,5.834765382170601,969.7486394232544
14,0.0,0.02666666666666667,0.02666666666666667,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.004792257386758744,0.0,2.3083241489023267,938.2115529483978
15,0.009,0.08,0.08,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.004792257386758744,0.0,0.7588427544003338,900.2380128695274
16,0.009,0.17333333333333334,0.17333333333333334,4967124.769981066,635658845.7578971,420.882619047619,0.0,0.0,0.0,0.0,0.004594246512185278,849.4493741950708
17,0.009,0.4533333333333333,0.4533333333333333,4874764.549547741,600493971.9458493,419.4371428571428,0.0,0.0,0.0,0.0,0.0019954235204739305,858.281747883467
18,0.009,0.8533333333333334,0.8533333333333334,4874764.549547741,600493971.9458493,419.4371428571428,0.0,0.0,0.0,0.0,0.00033289501481751347,877.1908774736138
19,0.009,1.0,1.0,4874764.549547741,600493971.9458493,419.4371428571428,0.0,0.0,0.0,0.0,0.0,892.9729400547753
20,0.022,1.0,1.0,4835463.608882042,590367188.8091965,348.77714285714285,0.0,0.0,0.0,0.0,0.0,895.9061853527505
21,0.022,1.0,1.0,4835463.608882042,590108391.5613315,348.77714285714285,0.0,0.0,0.0,0.0,0.0,915.8026402557698
22,0.022,1.0,1.0,4789820.938630708,587448801.5150269,348.77714285714285,0.0,0.0,0.0,0.0,0.0,899.538809983994
23,0.022,1.0,1.0,4723901.500987462,566632303.5658863,348.77714285714285,0.0,0.0,0.0,0.0,0.0,883.8823172189689
24,0.022,1.0,1.0,4658111.7947717,546080908.7172163,348.77714285714285,0.0,0.0,0.0,0.0,0.0,895.6984827837932
25,0.0435,1.0,1.0,4646487.673748966,538601358.039859,348.77714285714285,0.0,0.0,0.0,0.0,0.0,924.7188483898008
26,0.0435,1.0,1.0,4616352.494276698,535248291.81386673,348.77714285714285,0.0,0.0,0.0,0.0,0.0,930.0079945169036
27,0.0435,1.0,1.0,4538078.014810341,528862825.10044974,348.77714285714285,0.0,0.0,0.0,0.0,0.0,919.3386014481201
28,0.0435,1.0,1.0,4529404.806408975,525953072.25037485,348.77714285714285,0.0,0.0,0.0,0.0,0.0,911.787790605311
29,0.0435,1.0,1.0,4517480.77674267,523355961.1616485,348.045,0.0,0.0,0.0,0.0,0.0,914.6360447196557
30,0.088,1.0,1.0,4512860.538003928,522347076.1915712,348.045,0.0,0.0,0.0,0.0,0.0,884.4082905011546
31,0.088,1.0,1.0,4512860.538003928,521978257.81804043,348.045,0.0,0.0,0.0,0.0,0.0,863.0265476122061
32,0.088,1.0,1.0,4512860.538003928,521978257.81804043,348.045,0.0,0.0,0.0,0.0,0.0,891.8390753109613
33,0.088,1.0,1.0,4500560.677711848,517418143.5266039,306.56380952380954,0.0,0.0,0.0,0.0,0.0,914.6664861583805
34,0.088,1.0,1.0,4423320.467904518,492769795.3752983,306.56380952380954,0.0,0.0,0.0,0.0,0.0,955.6534272507386
35,0.1665,1.0,1.0,4408277.118680353,491633058.788695,306.56380952380954,0.0,0.0,0.0,0.0,0.0,918.0193905051483
36,0.1665,1.0,1.0,4408277.118680353,491633058.788695,306.56380952380954,0.0,0.0,0.0,0.0,0.0,907.0302116389969
37,0.1665,1.0,1.0,4369391.338744951,478844245.95558596,306.56380952380954,0.0,0.0,0.0,0.0,0.0,919.0088447219304
38,0.1665,1.0,1.0,4333683.330198881,468472412.54368865,306.56380952380954,0.0,0.0,0.0,0.0,0.0,931.094669714139
